"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ARF5",6132.06935019774,-0.273143749097903,0.0772299085645548,-3.53676126483547,0.000405065637908436,0.00215141441542441
"M6PR",1107.46235050412,0.138929495552541,0.0627584069392095,2.21371928205752,0.0268480956689189,0.0780069696092942
"ESRRA",275.571464913893,0.0631217868454851,0.130462680388214,0.483830216102072,0.628506368930594,0.770369553961811
"FKBP4",2816.05923248918,-0.372903542508164,0.0983200530827223,-3.7927516393265,0.00014898714847707,0.000883806874764708
"NDUFAF7",316.454664196726,-0.497627252508684,0.153715454121898,-3.23732740700269,0.00120654898156476,0.00551679434962567
"FUCA2",12.5601324105129,0.509690434920077,0.364238160165634,1.39933288343072,0.16171318311771,0.312952303344576
"DBNDD1",91.7830811138165,1.83864050190098,0.602685076010125,3.05074835115062,0.00228271808534475,0.00957770226446776
"SEMA3F",116.153963838257,1.3593289293807,0.217510791089734,6.24947811816797,4.11826431532493e-10,7.03570799613185e-09
"CYP51A1",1239.47275620122,-0.209517130210182,0.111757448653675,-1.87474868775373,0.0608273053441566,0.149752117526438
"USP28",129.989262277318,0.231685456696058,0.236367942160125,0.980189845453345,0.326992416053581,0.507880059655142
"STPG1",8.29405287015985,-0.354264684835049,1.35152343781447,-0.262122487056477,0.793227010570177,0.883896161923694
"NIPAL3",19.211466152077,0.647292364103671,1.16575405594671,0.555256368872769,0.578719317750609,0.731682477972706
"HSPB6",7.08639118250436,0.37897189483218,0.485017795347473,0.781356681069155,0.43459274166283,0.60937722583059
"ZNF195",121.34766439508,0.424601267131259,0.278165454245118,1.52643421622407,0.126901761768051,0.263038364993398
"RALA",551.095479228301,0.089180683439757,0.0873698268582347,1.02072633821812,0.30738411235036,0.487380000790761
"BCAP29",164.022261542599,0.116126221035768,0.121481154212961,0.955919638631313,0.339112836297292,0.519373526267372
"BAIAP2L1",206.260870000192,0.616848048080441,0.174534435364427,3.53424839512308,0.000408936569356553,0.00216780353433097
"TMEM132A",91.3500228366883,-0.695817391303077,0.658623631480297,-1.05647194853787,0.290752650101147,0.469036996844249
"DVL2",1287.30285941538,-0.282705094795725,0.0714056262624629,-3.95914313189547,7.52191492717576e-05,0.000480483635607284
"GGCT",41.2288781966826,-1.14368082403982,0.315577980891227,-3.62408308973248,0.00028998837581804,0.00159672897478748
"RPAP3",191.967688486247,-0.187479359963502,0.165088251439055,-1.13563114473178,0.256110968602045,0.430828205821606
"IFRD1",159.949652131137,-0.0520154382558369,0.224130861803795,-0.232076197973001,0.816478831492586,0.8982392156605
"HOXA11",13.2816846030874,1.99640554833386,0.554795965781231,3.59845000949608,0.000320119366046626,0.00174305327581825
"TRAPPC6A",88.9187695290469,-0.594126970224994,0.301608364646874,-1.96986237739329,0.048854145292305,0.126099966644536
"SPATA20",8.48022235054759,-1.97066175082096,1.4712814428277,-1.33941861390808,0.180434433060502,0.337535529104567
"CD79B",4216.36131952232,-0.361317261427813,0.0827017328783176,-4.36892008005967,1.24862446979546e-05,9.61831036889316e-05
"RHBDD2",615.446270119508,0.362510786842671,0.0711519296005377,5.09488342590123,3.48955910375194e-07,3.65477039971107e-06
"RPUSD1",639.428216061617,-0.709744058721136,0.149142696863782,-4.75882543125378,1.94722749137765e-06,1.78364487664082e-05
"TSR3",589.607878461101,-0.163278230569067,0.0771205259193759,-2.11718253503306,0.0342443590573472,0.0946938091861011
"OSBPL7",604.043988803051,0.117259523567467,0.0781200819852228,1.50101639152974,0.133351322004232,0.272307014271879
"NDUFAB1",843.015865913724,-0.366490582534373,0.0932432153462985,-3.93047988717735,8.47764854096212e-05,0.000534606945908822
"YBX2",2.59079909889741,4.36321901224264,1.37654902474915,3.16967934581026,0.00152607246406821,0.00674756703843613
"PDK2",506.010439388024,-0.325757395581092,0.180383535459838,-1.80591535003826,0.0709315630168186,0.168933625928945
"LRRC23",31.3815820955993,-1.56828412752534,0.618075180025726,-2.53736790961265,0.0111689508004003,0.0373669890568896
"IL32",1.24977019581006,3.70499907375036,1.66902139123513,2.21986314447926,0.0264280589875005,0.0769809930920989
"SPRTN",9.0553543801055,1.44111503679081,0.763965732468068,1.88636083471328,0.0592463465493459,0.14661824449035
"CRY1",1.05525359490816,1.35718623498024,1.76435765139303,0.769223991467199,0.441760350314545,0.616090106662151
"MAPK8IP2",1.25076212914046,0.326094305421523,3.02111571372717,0.10793836990084,0.914044580131422,0.9544951497189
