"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"YBX2",2.59079909889741,4.36321901224264,1.37654902474915,3.16967934581026,0.00152607246406821,0.00674756703843613
"LCP2",1.92473488908888,4.07653804658872,1.30792070530655,3.11680825148591,0.00182820440660081,0.00787411345669814
"HBQ1",2.23843659140467,4.45505548664827,1.18286487164053,3.76632664766643,0.000165667017669787,0.000972721187543063
"EFNA2",9.5000007313022,3.55909998513042,0.645631275393877,5.51258918329063,3.53592915481323e-08,4.4494043804049e-07
"SERPIND1",15.5204852835484,6.85735445838926,0.877015378636428,7.81896717598155,5.32584943586872e-15,1.65954911089688e-13
"BDKRB1",2.81611227329577,4.9382838973468,1.26520890078616,3.90313717701345,9.49538493601727e-05,0.000591242391661256
"TIMP1",5.7664174628583,5.94440467400702,1.11958080192825,5.30949143087216,1.09931552070506e-07,1.26037802722696e-06
"ITGB8",16.0085449662715,3.079259071003,0.51647956652299,5.96201528694154,2.49145832527387e-09,3.79185123727459e-08
"SERPINE1",22.866204151619,3.04637383009319,0.450764974672622,6.7582310100861,1.39686689752452e-11,2.88226467166345e-10
"MEST",6.83286372595895,5.78367979825255,1.80565105815705,3.20309938740639,0.00135957051824319,0.0060992887337761
"VIM",19.131609740219,5.46990058464987,0.730603080908652,7.48682934357045,7.05573485914345e-14,1.9172709447956e-12
"RASD1",21.6285724882015,5.10961257167114,0.751850179496215,6.79605154193738,1.07525323300114e-11,2.24890842853754e-10
"PKD2",12.2905760457165,3.01594312281737,0.608048561250756,4.96003660729593,7.04798965573381e-07,7.00435199479838e-06
"SLC35B1",36.2997551179396,4.72195545960475,1.03348921704976,4.56894506658158,4.90185227801554e-06,4.1360127656312e-05
"PLBD1",11.0117917485591,4.09766225392707,0.762998027027276,5.37047555665643,7.85292775416501e-08,9.30487679987071e-07
"GJA3",2.07855794220413,4.15254845768286,1.29816682970474,3.19877874142518,0.00138011044410175,0.00617738150790551
"NPY",2.66051275617,4.76622385945431,1.17828230683449,4.04506104505548,5.23094918459529e-05,0.000348326206194662
