SRR23199438	SRR23199439	SRR23199440	SRR23199441	SRR23199442	SRR23199443	SRR23199444	SRR23199445	SRR23199446	SRR23199447	SRR23199448	SRR23199449
5313.66	5866.6	5565.63	5701.41	6681.69	5631.38	5870.83	5593.51	5311.14	7768.76	7479.82	7478.25
1047.03	1081.73	1169.66	1153.18	1090.21	1004.05	1259.88	1150.79	1336.13	1046.01	1021.31	1064.47
202.849	267.984	244.214	211.126	278.486	162.392	355.418	328.96	307.635	349.128	326.686	313.473
2244.16	2377.41	2177.66	3490.02	4096.51	2997.43	2714.22	2752.52	2608.83	2931.7	2926.47	2830.85
0	0	0	0	0	0	0	0	0	0	0	0
219.101	275.101	235.869	471.513	433.215	480.569	296.817	273.389	275.876	334.838	275.691	272.232
16.18	18.4246	16.5003	21.2822	11.3733	12.0655	15.2572	12.7306	11.604	5.06957	5.07091	10.9897
170.356	97.7024	176.398	33.8254	26.3151	0	132.881	149.485	104.696	77.4625	69.0269	75.0551
1.00716	1.00384	1.00685	1.00242	1.00995	1.00198	0	0	2.00594	0	1.00038	1.00282
206.046	229.213	236.713	76.2146	70.8775	108.496	144.751	101.45	96.608	25.856	64.3247	48.7543
0	0	0	0	0	0	0	0	0	0	0	0
1175.64	1004.61	997.641	1668.52	1503.71	1341.27	1191.15	1350.54	1237.21	1197.73	1188.84	1168.98
179.081	166.98	186.713	130.264	100.183	196.661	122.261	74.4815	127.916	73.5665	141.033	78.2255
7.58404	0	0	25.717	8.58394	6.04967	12.51	12.6473	18.1388	13.8021	0	0
14.8227	30.6347	30.2583	18.3883	30.4462	0	55.3819	0	14.18	13.0877	30.2262	0
0	0	0	0	0	0	0	0	0	0	0	0
0.748286	0	0.361171	0.769469	0	0	0	0.385293	0.75411	0	0	0
5.47099	10	3	2	3.38145	6	11	12	7	8	9	10
139.818	111.304	140.966	196.487	163.048	102.227	123.798	126.891	175.351	79.5654	60.9369	57.0804
0	0	0	0	0	0	1	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
539.609	529.728	617.269	630.398	501.011	584.946	543.424	627.217	583.299	528.078	513.323	479.211
185.538	169.435	193.166	175.94	146.129	193.405	139.777	158.792	188.267	142.198	163.681	134.628
406.22	423.192	390.418	187.135	217.879	189.753	122.58	111.957	121.228	105.347	102.696	114.213
0	0	0	0	0	0	0	0	0	0	0	0
0.00245823	78.2928	52.1001	76.8479	52.9486	46.0333	107.783	49.9712	119.216	225.809	236.117	70.1392
1063.88	1210.57	989.044	1214.97	1357.39	1441	1139.66	1261.52	1382.27	1487.19	1619.66	1436.17
17.6044	15.5976	30.9317	61.9507	54.783	62.2929	18.7805	52.9328	25.3867	61.9005	46.7821	58.0851
155.134	157.097	213.301	265.082	245.265	258.125	211.244	171.852	168.996	189.443	157.271	138.165
137.864	188.76	139.292	241.787	222.64	226.506	169.245	125.382	166.55	107.482	79.4287	141.749
0	0	0	0	0	0	0	0	0	0	0	0
0	1.59279	4.26342	0	0	0	2.54422	0	1.91128	0	0	0
40	26	27	4.68533	13.9927	16	14	12	4.68225	2	2	0
3.39781	2.76283	0	0	0	0	1.27674	3.15256	0.331956	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
61.843	76.007	72.5255	58.4472	148.514	93.4234	102.939	82.774	36.8474	150.503	81.9653	119.788
18.6709	13.9757	3.89362	4.60997	14.6396	0	0	0	1.10405	22.8992	0	27.9112
0	0	0	0	0	0	0	0	0	0	0	0
3050.68	3500.97	3076.18	3569.44	4316.15	3334.07	4417.98	4255.78	3867.26	6043.87	5822.15	5838.28
632.413	615.887	609.101	424.049	514.878	473.685	788.784	801.873	749.277	636.915	677.855	542.527
424.929	512.443	333.23	914.547	821.454	733.519	597.152	574.425	522.907	584.286	836.555	900.06
469.048	536.182	512.278	579.28	669.418	518.484	653.599	635.948	573.69	732.753	643.942	628.711
573.372	629.114	588.171	466.279	603.462	584.037	723.167	689.853	609.968	635.08	657.048	565.616
0	0	0	0	0	0	0	0	0	0	0	0
690.052	727.925	683.751	1101.06	1102.17	1030.2	844.779	764.442	745.689	912.83	872.827	750.919
10.4137	7.76546	10.871	0	0	0.851626	2.03335	0	2.87525	0	0	0
379.411	508.802	492.59	360.273	451.238	504.105	345.234	441.884	512.465	666.12	714.188	750.638
0	0	0	0	7.30979	0	0	0	0	0	0	0
0	0	0	0	0	0	1.3311e-07	1.55086e-07	2.0739e-08	0	0	0
20.8305	22.9272	19.4331	19.3393	42.8883	35.1613	0	25.7953	8.85979	60.2908	75.3289	54.869
5.14534	2.78525	3.11431	0	0	0	2.89637	3.13773	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
5.57828	2.66061	20.7588	0	1.17715	7.78759	23.7019	13.4421	16.2106	14.7682	4.6125	5.68931
0	0	0	0	0	0	5	1.30545	5	0	1.30115	1.63574
9.27907	6.51479e-06	0	0	6.16071	0	0	0	0	0	0	0
6	4	6	0	0	5	6	2	6	2	4	6
94.1512	83.9044	102.948	81.9418	67.6053	95.4417	67.9085	79.4615	62.3844	120.278	77.6453	84.2866
0	0	0	0	0	0	0	0	0	0	0	0
929.243	1100.25	1039.36	603.214	528.487	568.337	945.859	944.492	1087.98	576.246	377.254	451.117
234.285	258.501	190.323	147.104	267.466	236.43	123.79	135.359	129.703	196.706	198.656	161.829
